Source.IP,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol
103.235.46.12,592321500,4500,2400,112500,351900.0,ORACLE
104.105.232.207,45692700,1800,1200,0,100800.0,DNS
104.129.31.10,515076320100,3993900,4386600,4723532400,0.0,SSL
104.130.132.18,110640000,2400,2700,373200,630000.0,YOUTUBE
104.154.127.219,999826880100,61800,71100,29924400,8330100.0,HTTP
104.154.178.88,4585930500,3300,2100,68400,1432200.0,VK
104.16.131.65,854090100,27300,25500,20282100,3409500.0,EDONKEY
104.16.16.35,8679600,4200,4200,285000,1126200.0,OPENSIGNAL
104.16.161.13,13810693500,2400,2100,329400,385800.0,APPLE
104.16.166.50,58416900,9000,6300,8932200,27000.0,YAHOO
104.16.205.165,2385000,1800,2100,40200,5400.0,IP_ICMP
104.16.21.35,21928500,1800,1500,40200,5400.0,SSL_NO_CERT
104.16.23.11,35669100,1200,1200,59700,261000.0,MICROSOFT
104.16.23.235,19219227600,4200,3300,677400,1879200.0,OPENVPN
104.16.232.144,31043700,9900,7500,3235500,556800.0,SKYPE
104.16.24.35,6354081300,3300,3900,489600,771000.0,OSCAR
104.16.25.235,13803031800,3000,2400,328800,9000.0,ORACLE
104.16.26.35,213900,1800,2100,40200,5400.0,OPENVPN
104.16.27.235,2190900,3600,4200,80400,14400.0,UBUNTUONE
104.16.32.227,30553500,18300,35400,29811600,373500.0,SKYPE
104.16.33.227,2345132100,9300,7800,8535600,616500.0,APPLE_ICLOUD
104.16.53.4,13809718800,3300,2700,1965600,334200.0,HTTP_CONNECT
104.16.57.61,423910500,6300,6900,2632200,3493200.0,TWITCH
104.16.58.61,5105778300,11400,9300,2646600,5424600.0,TelegramChat
104.16.76.166,100401900,19200,18300,27468300,75600.0,UPNP
104.16.78.166,264824100,1500,2100,63300,177000.0,SKYPE
104.16.79.166,541899000,5700,6000,789000,437700.0,GOOGLE
104.16.80.166,19173426300,1800,2100,1145100,106500.0,DEEZER
104.16.83.55,8050566600,7200,9600,2959800,508800.0,SPOTIFY
104.16.88.20,212400,1800,1500,40200,9000.0,UBUNTUONE
104.16.99.29,231300,1200,2100,27000,9000.0,EASYTAXI
104.18.52.9,14165113800,2700,3300,1020600,572400.0,GOOGLE
104.19.193.102,18878151900,3000,2400,5600400,197400.0,DROPBOX
104.19.195.102,160200,1800,2100,40200,5400.0,EDONKEY
104.19.196.102,106200,1200,2100,46200,5400.0,STARCRAFT
104.193.82.52,15073716600,1200,900,178200,199800.0,TelegramChat
104.196.13.90,96000,600,1500,18600,0.0,HTTP_CONNECT
104.196.131.150,2498714100,2400,2700,1230900,236700.0,DEEZER
104.196.48.127,150510600,1800,2100,149400,299400.0,UBUNTUONE
104.197.0.124,20197077600,2400,3300,47700,48900.0,TOR
104.20.110.39,121479000,19500,17400,22234500,820800.0,TOR
104.20.122.36,3560784900,7500,6000,12992400,306000.0,CITRIX
104.20.123.36,48676192500,101400,57300,169647000,14031900.0,POP3
104.20.132.4,177246600,9900,7800,3260700,1160400.0,MQTT
104.20.18.160,13825295700,14700,10800,15351300,143400.0,TWITCH
104.20.19.245,166979700,1500,2400,242100,514800.0,YAHOO
104.20.27.164,19007194200,4500,4800,538800,294600.0,UNENCRYPED_JABBER
104.20.39.89,6204826800,95400,76500,122937600,5159400.0,NTP
104.20.89.174,13854466200,1500,1200,1193100,215700.0,NETFLIX
104.208.165.109,11475407700,13500,14400,11509200,1767300.0,TWITCH
104.208.31.113,43166002500,24600,32700,14130000,19853700.0,SSH
104.209.179.144,4052368500,2400,3000,1890600,236700.0,CLOUDFLARE
104.209.188.76,723567900,3300,4800,2941200,115200.0,TelegramChat
104.211.96.15,1211713800,2700,3000,5977500,399900.0,DROPBOX
104.215.198.144,18791768100,19800,19500,8002800,6996000.0,NETFLIX
104.24.18.65,626400,1800,900,40200,5400.0,NTP
104.24.19.65,465600,1800,2100,49800,5400.0,MSSQL
104.24.28.104,380400,1800,1500,40200,5400.0,APPLE
104.24.96.126,13831080900,1200,300,102900,0.0,CITRIX
104.244.42.193,33051797100,12300,11400,3605700,897600.0,SSH
104.244.42.65,54056372100,5700,6300,602700,154800.0,ORACLE
104.244.43.145,3074769000,1800,1800,185700,278400.0,APPLE_ITUNES
104.244.43.17,383570700,3300,4500,3117600,475200.0,MSSQL
104.244.43.209,3279217200,5400,5400,4644000,563100.0,UBUNTUONE
104.244.43.241,3194724900,5100,6300,4459200,639900.0,NetBIOS
104.244.43.48,3187929300,1800,3000,1901700,226200.0,TEAMVIEWER
104.244.43.81,151200,3900,1800,6952200,0.0,IP_ICMP
104.244.46.135,206100,1200,1500,53400,0.0,SSH
104.244.46.167,197100,600,1500,34800,0.0,TelegramChat
104.244.46.199,39846900,3000,3300,217200,10800.0,TOR
104.244.46.231,3158475600,6600,5100,4285200,166200.0,APPLE
104.244.46.7,16814228700,75900,33300,182651700,311100.0,SKINNY
104.244.46.71,117446281500,241200,119400,693438000,1111200.0,HTTP_PROXY
104.244.55.20,135242100,10800,7800,16473600,562800.0,OPENSIGNAL
104.25.145.13,2991300,2100,3900,463200,7200.0,MICROSOFT
104.25.159.98,15614980500,19800,12900,9566100,3792900.0,IMAP
104.25.216.18,150300,1800,1500,40200,5400.0,SKYPE
104.25.244.109,100800,1500,1500,28500,5400.0,SSL_NO_CERT
104.25.26.30,15863343300,13800,12000,560400,1861200.0,CITRIX
104.25.27.30,10500,3000,0,88500,0.0,FTP_DATA
104.25.34.99,13802061900,900,600,256500,0.0,FACEBOOK
104.25.7.12,269700,1800,1500,49800,9000.0,MICROSOFT
104.254.150.21,3133162200,3600,2700,4042800,702000.0,UPNP
104.254.150.37,4446822600,12600,13200,2232900,7080600.0,VK
104.254.150.4,564714000,1500,1800,42300,170400.0,IP_ICMP
104.254.150.59,781159500,10800,9000,1809900,3081600.0,EDONKEY
104.254.150.77,3123728700,1800,900,271800,1249800.0,HTTP_DOWNLOAD
104.27.168.251,6100800,2400,2100,11400,132600.0,STARCRAFT
104.27.184.92,85611683700,29100,36600,2703300,3003900.0,APPLE
104.28.11.61,11138400,2400,2700,11400,124200.0,EBAY
104.41.208.54,9007624800,2400,1800,1856400,614400.0,HTTP_PROXY
104.43.203.255,3012601200,3600,3600,470400,292800.0,HTTP_CONNECT
104.46.62.41,351867600,4500,5400,2289300,1258800.0,GMAIL
104.91.129.122,570078877500,71700,55800,12497400,2938500.0,CLOUDFLARE
104.91.130.174,341506500,27300,25500,47847000,266100.0,EBAY
104.91.131.115,7188430500,14100,11400,18569100,1312800.0,SIMET
104.91.132.45,37512579000,70200,43500,104998200,2880600.0,OPENSIGNAL
104.91.136.77,493363800,1200,1500,45600,170400.0,EASYTAXI
104.91.137.177,320400,1500,1800,117000,0.0,YAHOO
104.91.138.58,2419251600,3000,2400,145200,260100.0,TOR
104.91.140.19,33594655800,251400,261600,467809500,2358300.0,HTTP
104.91.145.83,8250900,900,900,74100,108600.0,MAIL_IMAPS
104.91.145.94,973180800,10500,7200,16334400,2063400.0,GMAIL
104.91.149.153,817363200,15000,16800,14480700,1390200.0,TOR
104.91.149.170,872965200,5400,3600,790200,4735200.0,IMAP
104.91.150.142,159158797800,60300,56700,15676800,12533700.0,SIMET
104.91.152.204,16042954800,4200,6000,2147100,456300.0,HTTP
104.91.154.173,21748785300,25500,21600,37917900,1390500.0,TOR
104.91.155.184,331546800,2700,2400,341100,1426200.0,UBUNTUONE
104.91.155.48,282813000,1800,3000,973800,105600.0,OFFICE_365
104.91.156.147,82247700,1200,900,749700,101700.0,MQTT
104.91.156.236,450930300,66300,46500,0,3524400.0,EBAY
104.91.157.235,34445155500,14400,14100,635700,886800.0,EDONKEY
104.91.157.56,182492700,2100,3300,1554300,1085700.0,OSCAR
104.91.163.103,38408170500,9900,10500,5253300,1958100.0,HTTP_CONNECT
104.91.165.106,25647900,1800,2400,54900,175800.0,HTTP_DOWNLOAD
104.91.165.12,80268000,2700,3300,1488900,833100.0,TelegramChat
104.91.165.150,1741983600,5100,6600,408900,1147200.0,TOR
107.151.3.107,66844355100,66300,63900,9331200,22069500.0,CONTENT_FLASH
107.151.3.108,35461911600,8700,15000,3499200,4322700.0,SSL
107.151.3.115,20156416500,4500,4200,459000,1407600.0,OPENVPN
107.151.3.131,1353757800,4800,4800,627900,3204300.0,ORACLE
107.154.193.63,93139500,1200,1200,42300,170400.0,UPNP
107.170.243.14,1973884200,5100,6000,5820600,298800.0,CLOUDFLARE
107.178.242.198,2515031100,1500,1500,436800,557100.0,IMAP
107.178.242.85,17897193600,1500,1200,149400,134400.0,MAIL_IMAPS
107.178.244.119,301200,1800,3000,70800,0.0,HTTP_PROXY
107.178.247.57,174166018500,1071900,806400,30102000,169047900.0,TWITCH
107.178.253.132,300,600,0,0,0.0,UPNP
107.178.254.65,651535200,5700,5100,243000,301800.0,TWITTER
107.182.233.218,52498407300,273000,129000,745547100,4224600.0,SKYPE
107.182.233.47,145812172800,5531700,1627500,17771757300,48851400.0,MICROSOFT
107.20.171.96,483480000,900,1500,18600,0.0,INSTAGRAM
107.20.208.40,967645500,7800,10200,2617500,942900.0,SSL
107.20.210.61,12151217400,5400,6000,348600,1232100.0,DNS
107.21.213.98,292364100,4200,3600,3342900,593100.0,SKINNY
107.21.250.154,108855600,7800,8100,3663000,229800.0,OSCAR
107.21.37.12,2366323800,3900,4500,1823400,3131400.0,TOR
107.22.191.190,300,600,0,208800,0.0,NETFLIX
107.22.192.108,17812675800,3900,2400,304200,244500.0,TEAMVIEWER
107.22.228.125,17719788300,900,1500,286200,0.0,SIMET
107.22.236.230,17805792300,900,1500,304200,0.0,CLOUDFLARE
108.161.188.128,286670400,29400,9600,106938000,0.0,MS_ONE_DRIVE
108.167.140.163,36683235600,6900,5400,9153300,734700.0,NetBIOS
108.168.151.6,824832076200,179400,99000,2781900,3108300.0,YAHOO
108.168.178.157,264900,1200,1200,22200,7200.0,SSL
108.168.186.24,2231253600,3000,2100,1681500,779100.0,CONTENT_FLASH
108.168.186.25,1853590800,1200,900,95700,138000.0,CONTENT_FLASH
108.174.10.10,233061153000,53400,47700,6699600,5968200.0,TOR
108.174.10.19,471000,1200,2700,37200,0.0,OFFICE_365
108.174.11.65,5586459000,18000,18900,7638300,2781600.0,TelegramChat
108.177.11.189,2703035593800,454200,421800,46578900,16065300.0,WINDOWS_UPDATE
108.177.11.95,1851962100,2100,2700,1263600,140700.0,MICROSOFT
108.177.12.189,1193888394300,149100,136500,11188500,4622700.0,NETFLIX
108.177.12.95,4423699800,5100,4800,2521800,210900.0,WHOIS_DAS
108.59.6.118,120031500,2700,1200,987300,788100.0,EBAY
109.108.142.84,17759936100,3000,2400,3283200,0.0,EASYTAXI
129.144.61.40,1501704600,600,300,76500,0.0,UBUNTUONE
129.164.142.74,3349623000,94200,66900,195069000,689400.0,IMAP
13.107.21.200,104497044000,114900,81300,116058900,8997600.0,HTTP_PROXY
13.107.3.128,2492017800,14100,11400,13510500,969900.0,APPLE
13.107.4.50,2601548208900,51029700,26003700,105689026500,46659900.0,MICROSOFT
13.107.42.11,13010243763600,4564500,3007500,909669000,632012400.0,AMAZON
13.107.5.80,27004085100,1500,1200,454800,193500.0,DEEZER
13.107.5.88,19178737200,16200,13800,8627100,1100400.0,YOUTUBE
13.32.242.183,640077300,3900,4800,1982100,360600.0,IMAP
13.32.242.89,981035700,2700,2700,1898100,216600.0,TOR
13.32.244.115,3065471700,1500,1800,46800,170400.0,NFS
13.32.244.117,245400,1200,900,18600,0.0,BitTorrent
13.32.244.13,34944865800,17700,16500,24901200,878400.0,EDONKEY
13.32.244.158,2326566600,20700,15300,32972400,490800.0,HTTP
13.32.244.159,34870248900,8400,8400,14831100,244800.0,GMAIL
13.32.244.167,177396300,1800,2100,176700,170400.0,SSH
13.32.244.207,1505054700,1500,2400,124500,330000.0,WHOIS_DAS
13.32.244.237,90054600,1500,1500,46800,170400.0,GOOGLE_MAPS
13.32.244.56,192900,1500,1200,32400,0.0,CITRIX
13.32.244.80,3401853600,1500,1800,46800,170400.0,INSTAGRAM
13.32.244.99,18252990900,11400,11700,12593400,1826100.0,FACEBOOK
13.32.251.108,311358905100,1039800,1164000,1551856800,0.0,SKINNY
13.32.251.217,237891600,8400,9000,12637500,558000.0,NFS
13.32.251.236,3308040000,3300,4500,3119400,385800.0,DNS
13.32.251.72,80866349400,10800,8700,4234200,4499400.0,APPLE_ITUNES
13.68.82.8,308816400,1800,2100,1147800,213600.0,TOR
13.68.88.129,108537000,3000,4500,1426800,427200.0,HTTP_DOWNLOAD
13.69.188.18,2066256300,1200,3300,45000,249000.0,OPENSIGNAL
13.74.24.63,189376287000,41100,32100,5005500,11093100.0,MSSQL
13.74.29.62,33295786200,1800,1800,204300,41400.0,SSL_NO_CERT
13.76.219.191,50407871400,3900,5400,7223400,517200.0,CITRIX
13.76.219.210,954472800,3600,5100,3270600,673200.0,MSN
13.77.92.139,454607700,1500,2100,1299900,124800.0,IMAP
13.91.60.30,16128246000,5700,5400,0,32400.0,DNS
130.14.16.105,658197600,4200,3300,1814700,528900.0,DROPBOX
130.14.29.110,3288231600,10500,8700,4357200,2130000.0,WAZE
130.211.115.4,168391800,1800,1500,265200,504900.0,YOUTUBE
130.211.14.80,106490842500,48600,44400,35288400,11149800.0,CITRIX
131.253.14.195,600,300,300,106500,0.0,HTTP_PROXY
131.253.34.240,1736361000,1500,2100,1444200,372900.0,FTP_DATA
131.253.40.50,17762804700,900,1200,253200,0.0,HTTP_PROXY
131.253.61.100,258411300,1200,1200,1915200,54600.0,IP_ICMP
131.253.61.64,57148200,2100,600,404100,990000.0,HTTP_DOWNLOAD
131.253.61.68,449093100,9000,9000,11252100,2373600.0,MS_ONE_DRIVE
131.253.61.80,406608600,7800,4500,10609500,1108200.0,WHATSAPP
131.253.61.82,137626500,1500,1800,1366800,295800.0,TOR
131.253.61.84,519317100,5700,5400,6940200,3273900.0,APPLE_ICLOUD
131.253.61.96,483853200,3600,4800,4677600,2327700.0,HTTP_DOWNLOAD
131.253.61.98,18151462200,2100,3300,1702500,476100.0,UNENCRYPED_JABBER
132.174.11.84,1576522500,1500,900,114900,54900.0,GOOGLE_MAPS
132.255.20.136,55833900,7500,4500,10983600,328800.0,CONTENT_FLASH
132.255.20.146,21238683600,42600,36900,44853300,15339000.0,WHATSAPP
134.170.104.154,16824394800,900,1500,106800,0.0,TelegramChat
134.170.108.72,2080658400,3000,3300,4358700,109200.0,OPENSIGNAL
134.170.111.154,18101807400,2400,2700,160200,549000.0,MSN
134.170.115.62,20858955300,47400,49200,104201400,17035200.0,WINDOWS_UPDATE
134.170.165.249,11665693800,31500,42000,25830000,69215700.0,APPLE
134.170.3.182,292773012900,19200,15600,73500,48300.0,INSTAGRAM
134.170.53.29,24063840900,137400,86700,221508900,111856800.0,YOUTUBE
134.170.58.118,21379719300,36000,38100,14021700,59919600.0,MSSQL
134.170.58.123,22759518000,58200,66000,25269600,115136400.0,OPENVPN
136.146.210.121,1678859100,8400,10500,1092600,857700.0,SKYPE
136.243.24.163,35965958400,3600,3000,326400,738000.0,IP_ICMP
137.116.74.190,36514132200,5700,8400,9883500,851400.0,HTTP_CONNECT
137.116.77.120,649908000,6900,8700,4186800,3610200.0,ORACLE
137.117.17.70,4394884200,3600,5100,4365000,349800.0,WINDOWS_UPDATE
138.128.173.42,1603483800,8700,9000,20455200,159300.0,NetBIOS
138.197.231.131,179308800,1800,900,148500,402900.0,UPNP
138.201.85.108,18141447900,6900,4500,17376000,0.0,CITRIX
138.91.243.193,2799399900,1500,3000,1701600,460800.0,DEEZER
139.162.178.169,5917678200,600,900,0,54900.0,POP3
139.162.30.99,395686200,3300,4200,1161300,200400.0,IP_ICMP
139.59.200.233,229921500,6600,6000,4303200,864600.0,TOR
140.205.195.57,7368052500,17400,18000,408600,424200.0,CONTENT_FLASH
140.234.252.13,18210311400,5100,4500,1546200,683400.0,IP_ICMP
142.4.219.32,5346834900,3300,2100,702000,1627200.0,APPLE_ITUNES
144.208.108.130,1782412800,11400,4800,16755000,497700.0,NTP
144.76.174.102,300,600,0,9300,0.0,SPOTIFY
144.76.218.56,3701831700,2400,1800,1175400,191700.0,WAZE
146.185.132.93,6003133800,2700,4800,371100,819600.0,OPENVPN
146.20.128.219,187360732500,151500,155700,148758900,21474600.0,SKINNY
146.20.128.77,115585982700,43500,57000,5213100,6359400.0,EBAY
146.20.132.118,20973679200,4800,4500,823200,762600.0,TelegramChat
146.20.132.140,34937360400,9300,8400,6201000,3762900.0,FTP_DATA
146.20.132.250,11992881900,3300,5700,409800,179400.0,VK
146.20.133.214,232822500,3000,3600,1266900,349800.0,CLOUDFLARE
148.217.50.5,820971300,32400,23100,60981000,0.0,IP_ICMP
149.13.17.14,32565267900,57600,29400,90106200,2295600.0,AMAZON
149.56.103.101,8554049700,27000,24600,58092000,503700.0,OFFICE_365
149.56.21.92,1732285800,3600,1800,754800,1227600.0,HTTP_PROXY
149.56.241.108,1918969500,900,900,346200,423000.0,GOOGLE
149.56.241.116,3151130100,2100,2100,128400,919200.0,ORACLE
149.56.30.200,3115253100,2100,1500,350400,0.0,HTTP_PROXY
149.56.30.56,212916600,6600,8100,9598800,498000.0,EBAY
15.57.72.184,8711085600,6600,3000,12735600,108600.0,UNENCRYPED_JABBER
151.101.0.134,5918473800,8700,7500,6829200,720600.0,IP_ICMP
151.101.0.143,85128000,2400,3900,264000,471600.0,NETFLIX
151.101.0.166,30758204100,4200,2700,1810200,1437600.0,IP_ICMP
151.101.0.175,207065400,14400,9900,32465700,1143600.0,SPOTIFY
151.101.0.217,13368678000,6300,6300,6797400,1140600.0,HTTP_DOWNLOAD
151.101.0.84,52361549100,66900,66600,43142100,40791000.0,EDONKEY
151.101.1.108,401469600,12900,17100,15094500,628200.0,MSSQL
151.101.128.222,18225549600,15000,16200,17302800,972000.0,WHOIS_DAS
151.101.128.68,375303900,2700,4800,1933500,314700.0,HTTP_DOWNLOAD
151.101.128.84,55655549400,32100,30000,26086800,22250700.0,OPENSIGNAL
151.101.129.108,289004400,900,1800,1497900,98400.0,CITRIX
151.101.130.2,23940481500,9000,7500,15457500,2283000.0,NTP
151.101.192.166,68401364700,6000,5400,1105200,2490000.0,CLOUDFLARE
151.101.192.217,7433286900,1500,2700,1707300,1800.0,HTTP_CONNECT
151.101.192.249,17980659600,600,1500,254100,0.0,EBAY
151.101.192.64,17843891100,1500,900,96900,0.0,WIKIPEDIA
151.101.192.84,38626718400,27300,34800,16322700,9479400.0,MSSQL
151.101.194.2,9074530200,11400,12000,4154700,750000.0,NetBIOS
151.101.2.2,24226486200,18000,21600,32397300,1133700.0,BitTorrent
151.101.32.134,18289250400,16800,22500,11266800,1739700.0,APPLE
151.101.32.246,5971476600,49200,41400,90882300,979800.0,YAHOO
151.101.32.249,168245400,1800,2400,1283400,219000.0,MS_ONE_DRIVE
151.101.33.133,196766700,2400,6300,784200,436800.0,MSSQL
151.101.64.143,427696800,12600,17700,1226700,2078400.0,AMAZON
151.101.64.175,19901812500,3000,3900,647100,742200.0,MS_ONE_DRIVE
151.101.64.69,637800,2400,3000,37200,0.0,UNENCRYPED_JABBER
151.101.64.84,33327422100,11700,15600,5253600,3686400.0,POP3
151.101.66.2,44072581800,80700,75900,121989300,1109100.0,STARCRAFT
151.101.66.49,287700,1200,1500,53400,0.0,MAIL_IMAPS
152.163.50.3,6326649300,8100,7500,4890600,667800.0,TelegramChat
152.163.56.2,6273104100,7500,8100,1463700,864600.0,EASYTAXI
152.163.64.2,193406400,4500,4500,1833600,857700.0,MAIL_IMAPS
154.16.127.12,17977785300,2700,3900,2370000,427800.0,OPENVPN
154.53.129.47,1526856300,1200,900,747000,0.0,TWITCH
154.53.224.142,2845917300,5700,9600,4221600,1470600.0,VK
154.53.224.234,115652298900,2847600,2124600,5812477800,3600.0,DROPBOX
154.53.225.34,15557839500,304800,193500,819228000,0.0,MICROSOFT
156.154.200.36,457500,1800,0,87900,0.0,OFFICE_365
156.154.202.32,113100,1800,0,271800,0.0,MSN
157.240.0.22,18821649900,1800,2400,0,189600.0,SKYPE
157.240.0.5,4814155800,3000,2100,321600,11400.0,STARCRAFT
157.55.109.224,13412266800,25200,24600,27769200,14557200.0,SSH
157.55.130.174,50746735500,7500,6300,12600,7200.0,NTP
157.55.133.204,171420600,2700,2700,2604600,240300.0,EBAY
157.55.235.150,232991731500,39300,34800,1473900,1269900.0,POP3
157.55.235.167,81836852100,40800,40200,1701300,1496400.0,WIKIPEDIA
157.55.240.126,5990403900,18300,18300,22717500,12058200.0,WHATSAPP
157.55.240.89,30361223100,12600,12900,12167400,1623600.0,AMAZON
157.55.253.50,35571243600,3000,2400,433800,234300.0,MQTT
157.55.56.159,67834876500,6600,6300,232800,12000.0,HTTP_CONNECT
157.55.56.163,261575153400,112500,123300,7280100,6471900.0,CITRIX
157.55.56.173,166676017200,39900,38400,907800,322800.0,DROPBOX
157.55.56.175,238122857100,54900,55500,2184900,2644800.0,OPENVPN
157.55.6.71,225637800,1500,2400,496800,548700.0,FACEBOOK
157.56.52.48,18443089200,2700,2700,9000,2400.0,BitTorrent
157.56.77.148,399282300,1800,2400,1302300,241200.0,IMAP
158.69.27.80,1719564300,2700,3300,460800,825600.0,CITRIX
158.85.224.172,110021583900,10500,13800,964200,402300.0,HTTP
158.85.224.173,13871329800,26700,29700,1534200,1535100.0,WINDOWS_UPDATE
158.85.224.177,407214315300,67500,75000,38839800,1662300.0,AMAZON
