customerID,gender,age,tenure,PhoneService,InternetService,is_tv_subscriber,is_movie_package_subscriber,service_failure_count,bill_avg,Churn
8168-UQWWF,Female,35,11,Yes,Fiber optic,Yes,Yes,0,2935.5,Yes
8865-TNMNX,Male,22,10,Yes,DSL,No,No,1,1486.5,No
9489-DEDVP,Female,30,70,Yes,DSL,Yes,No,2,2076.0,No
9867-JCZSP,Female,44,17,Yes,DOCSIS,No internet service,No internet service,2,622.5,No
4671-VJLCL,Female,38,63,Yes,DSL,Yes,No,0,2395.5,No
4080-IIARD,Female,29,13,Yes,DSL,Yes,No,0,2286.0,No
3714-NTNFO,Female,40,49,Yes,Fiber optic,No,Yes,2,2535.0,No
5948-UJZLF,Male,20,2,Yes,DSL,No,No,1,1477.5,No
7760-OYPDY,Female,53,2,Yes,Fiber optic,Yes,No,2,2419.5,Yes
7639-LIAYI,Male,18,52,Yes,DSL,Yes,Yes,0,2392.5,No
2954-PIBKO,Female,21,69,Yes,DSL,No,No,0,1924.5000000000002,No
8012-SOUDQ,Female,21,43,Yes,Fiber optic,Yes,No,1,2707.5,No
9420-LOJKX,Female,37,15,Yes,Fiber optic,Yes,Yes,0,2973.0,Yes
6575-SUVOI,Female,37,25,Yes,DSL,Yes,No,1,2085.0,No
7495-OOKFY,Female,29,8,Yes,Fiber optic,No,No,2,2419.5,Yes
4667-QONEA,Female,21,60,Yes,DSL,No,Yes,0,2245.5,No
1658-BYGOY,Male,50,18,Yes,Fiber optic,Yes,Yes,1,2863.5,Yes
8769-KKTPH,Female,44,63,Yes,Fiber optic,Yes,Yes,2,2989.5,No
5067-XJQFU,Male,62,66,Yes,Fiber optic,Yes,Yes,0,3253.5,No
3957-SQXML,Female,38,34,Yes,DOCSIS,No internet service,No internet service,2,748.5,No
5954-BDFSG,Female,27,72,Yes,Fiber optic,Yes,Yes,1,3225.0,No
0434-CSFON,Female,55,47,Yes,Fiber optic,Yes,Yes,2,3015.0,No
1215-FIGMP,Male,39,60,Yes,Fiber optic,Yes,No,0,2697.0,No
0526-SXDJP,Male,45,72,No,DSL,No,No,0,1263.0,No
0557-ASKVU,Female,45,18,Yes,DSL,No,No,0,1632.0,No
5698-BQJOH,Female,55,9,Yes,Fiber optic,Yes,Yes,0,2832.0,Yes
5122-CYFXA,Female,51,3,Yes,DSL,Yes,Yes,1,2259.0,No
8627-ZYGSZ,Male,57,47,Yes,Fiber optic,No,No,2,2367.0,No
3410-YOQBQ,Female,61,31,Yes,DSL,Yes,Yes,1,2376.0,No
3170-NMYVV,Female,54,50,Yes,DOCSIS,No internet service,No internet service,1,604.5,No
7410-OIEDU,Male,49,10,Yes,Fiber optic,No,No,2,2395.5,No
2273-QCKXA,Male,49,1,Yes,DSL,No,No,2,1471.5,No
0731-EBJQB,Female,53,52,Yes,DOCSIS,No internet service,No internet service,1,612.0,No
1891-QRQSA,Male,51,64,Yes,Fiber optic,Yes,Yes,2,3348.0,No
8028-PNXHQ,Male,22,62,Yes,DOCSIS,No internet service,No internet service,2,727.5,No
5630-AHZIL,Female,24,3,Yes,DSL,No,Yes,2,1935.0,No
2673-CXQEU,Female,51,56,Yes,Fiber optic,Yes,Yes,0,3315.0,No
6416-JNVRK,Female,21,46,Yes,DSL,No,Yes,1,1669.5,No
5590-ZSKRV,Female,36,8,Yes,DSL,No,No,1,1639.5,No
0191-ZHSKZ,Male,59,30,Yes,DSL,Yes,Yes,0,2242.5,No
3887-PBQAO,Female,19,45,Yes,DOCSIS,No internet service,No internet service,1,777.0,No
5919-TMRGD,Female,53,1,Yes,Fiber optic,Yes,No,0,2380.5,Yes
8108-UXRQN,Female,34,11,No,DSL,Yes,Yes,1,1516.5,No
9191-MYQKX,Female,46,7,Yes,Fiber optic,No,No,1,2254.5,Yes
9919-YLNNG,Female,28,42,Yes,Fiber optic,Yes,Yes,1,3114.0,No
0318-ZOPWS,Female,59,49,Yes,DOCSIS,No internet service,No internet service,0,604.5,No
4445-ZJNMU,Male,29,9,Yes,Fiber optic,Yes,Yes,1,2979.0,No
4808-YNLEU,Female,24,35,Yes,DSL,Yes,No,1,1864.5,No
1862-QRWPE,Female,31,48,Yes,DOCSIS,No internet service,No internet service,0,619.5,No
2796-NNUFI,Female,41,46,Yes,DOCSIS,No internet service,No internet service,2,598.5,No
3016-KSVCP,Male,22,29,No,DSL,Yes,No,1,1012.5,No
4767-HZZHQ,Male,62,30,Yes,Fiber optic,No,No,0,2461.5,No
2424-WVHPL,Male,52,1,Yes,Fiber optic,No,No,2,2241.0,No
7233-PAHHL,Male,35,66,Yes,DSL,Yes,Yes,2,2520.0,No
6067-NGCEU,Female,23,65,Yes,Fiber optic,Yes,Yes,1,3331.5,No
9848-JQJTX,Male,30,72,Yes,Fiber optic,Yes,Yes,2,3027.0,No
8637-XJIVR,Female,50,12,Yes,Fiber optic,No,No,0,2368.5,Yes
9803-FTJCG,Male,43,71,Yes,DSL,No,No,2,2005.4999999999998,No
0278-YXOOG,Male,23,5,Yes,DOCSIS,No internet service,No internet service,2,631.5,Yes
3212-KXOCR,Male,36,52,Yes,DOCSIS,No internet service,No internet service,1,630.0,No
4598-XLKNJ,Female,46,25,Yes,Fiber optic,Yes,Yes,2,2955.0,Yes
6380-ARCEH,Male,31,1,Yes,DOCSIS,No internet service,No internet service,1,606.0,No
3679-XASPY,Female,61,1,Yes,DOCSIS,No internet service,No internet service,1,583.5,No
7123-WQUHX,Male,27,38,Yes,Fiber optic,Yes,No,2,2850.0,No
5386-THSLQ,Female,33,66,No,DSL,Yes,No,2,1366.5,No
3192-NQECA,Male,46,68,Yes,Fiber optic,Yes,Yes,0,3300.0,Yes
6180-YBIQI,Male,18,5,No,DSL,No,No,1,729.0,No
6728-DKUCO,Female,44,72,Yes,Fiber optic,Yes,Yes,1,3124.5,No
9750-BOOHV,Female,42,32,No,DSL,No,No,0,904.5,No
8597-CWYHH,Male,32,43,Yes,Fiber optic,Yes,Yes,0,2830.5,No
2848-YXSMW,Male,39,72,Yes,DOCSIS,No internet service,No internet service,1,582.0,No
0486-HECZI,Male,41,55,Yes,Fiber optic,Yes,No,2,2902.5,Yes
4549-ZDQYY,Female,53,52,Yes,DSL,No,No,0,1738.5,No
5712-AHQNN,Female,29,43,Yes,Fiber optic,Yes,No,1,2749.5,No
4846-WHAFZ,Female,55,37,Yes,Fiber optic,No,No,1,2295.0,Yes
5256-SKJGO,Female,54,64,No,DSL,Yes,Yes,1,1638.0,No
3071-VBYPO,Male,19,3,Yes,Fiber optic,Yes,No,1,2695.5,No
9560-BBZXK,Female,43,36,No,DSL,No,No,1,931.5,No
5299-RULOA,Female,26,10,Yes,Fiber optic,Yes,Yes,1,3007.5,Yes
8402-OOOHJ,Female,54,41,Yes,DOCSIS,No internet service,No internet service,2,619.5,No
9445-ZUEQE,Male,52,27,Yes,Fiber optic,No,No,0,2556.0,No
1091-SOZGA,Female,38,56,Yes,Fiber optic,Yes,Yes,0,2994.0,No
2928-HLDBA,Female,32,6,Yes,DOCSIS,No internet service,No internet service,1,621.0,No
0404-SWRVG,Male,20,3,Yes,Fiber optic,No,No,2,2232.0,Yes
6497-TILVL,Female,53,7,Yes,DSL,No,No,2,1521.0,No
7219-TLZHO,Female,59,4,Yes,DOCSIS,No internet service,No internet service,0,625.5,No
4622-YNKIJ,Male,62,33,Yes,Fiber optic,Yes,No,2,2668.5,No
4412-YLTKF,Female,24,27,Yes,Fiber optic,No,No,1,2341.5,Yes
6734-PSBAW,Male,24,72,Yes,DOCSIS,No internet service,No internet service,2,706.5,No
3930-ZGWVE,Male,44,1,Yes,DOCSIS,No internet service,No internet service,1,592.5,No
2639-UGMAZ,Male,30,71,No,DSL,Yes,Yes,0,1693.5,No
2876-GZYZC,Female,58,13,Yes,Fiber optic,No,Yes,2,2578.5,No
6207-WIOLX,Female,29,25,No,DSL,Yes,Yes,0,1758.0,Yes
8587-XYZSF,Male,39,67,Yes,DSL,No,No,2,1516.5,No
3091-FYHKI,Male,61,1,No,DSL,No,Yes,2,1063.5,Yes
2372-HWUHI,Male,33,2,Yes,DSL,No,No,1,1330.5,Yes
7799-LGRDP,Female,57,43,Yes,DOCSIS,No internet service,No internet service,2,771.0,No
7850-VWJUU,Female,63,23,Yes,Fiber optic,No,No,2,2250.0,No
3774-VBNXY,Female,53,64,Yes,DOCSIS,No internet service,No internet service,0,606.0,No
6217-KDYWC,Male,24,57,Yes,DOCSIS,No internet service,No internet service,2,588.0,No
0390-DCFDQ,Female,25,1,Yes,Fiber optic,No,No,2,2113.5,Yes
3146-MSEGF,Female,41,72,Yes,DSL,Yes,Yes,0,2641.5,No
4080-OGPJL,Female,41,8,Yes,DSL,No,Yes,0,2134.5,Yes
1095-WGNGG,Female,19,61,Yes,Fiber optic,Yes,Yes,0,3031.5,No
2636-SJDOU,Male,43,64,Yes,Fiber optic,No,No,1,2529.0,No
1131-QQZEB,Male,30,71,Yes,DOCSIS,No internet service,No internet service,0,718.5,No
5716-EZXZN,Female,44,65,Yes,Fiber optic,Yes,No,2,2971.5,No
6837-BJYDQ,Male,39,3,Yes,DOCSIS,No internet service,No internet service,2,588.0,No
2135-RXIHG,Male,50,1,Yes,DSL,No,No,2,1369.5,Yes
6440-DKQGE,Male,18,30,Yes,DSL,Yes,No,2,1935.0,No
3466-BYAVD,Male,42,15,Yes,DSL,No,Yes,0,2085.0,No
3780-YVMFA,Female,19,8,Yes,DSL,Yes,Yes,0,2056.5,No
3874-EQOEP,Male,60,7,Yes,Fiber optic,Yes,Yes,1,2850.0,Yes
1679-JRFBR,Female,44,70,Yes,Fiber optic,Yes,Yes,2,3244.5,No
9073-ZZIAY,Male,56,62,Yes,DSL,Yes,Yes,0,2583.0,No
3077-RSNTJ,Female,45,6,Yes,DOCSIS,No internet service,No internet service,1,591.0,No
6551-GNYDG,Female,58,14,Yes,Fiber optic,No,Yes,2,2427.0,No
9167-APMXZ,Female,42,22,Yes,Fiber optic,Yes,No,1,2524.5,No
2749-CTKAJ,Male,25,22,Yes,DOCSIS,No internet service,No internet service,0,604.5,No
6371-NZYEG,Male,35,16,Yes,DSL,Yes,No,1,1927.5,No
7554-NEWDD,Male,50,10,Yes,DOCSIS,No internet service,No internet service,0,771.0,No
8992-VONJD,Female,58,13,Yes,DSL,No,No,0,1680.0,No
0867-MKZVY,Female,24,20,Yes,Fiber optic,No,No,0,2472.0,Yes
4482-EWFMI,Female,19,2,Yes,Fiber optic,No,No,0,2091.0,No
4648-YPBTM,Male,25,53,Yes,DSL,No,Yes,1,2217.0,No
2907-ILJBN,Female,44,11,Yes,DOCSIS,No internet service,No internet service,1,618.0,No
6345-FZOQH,Male,32,69,Yes,DOCSIS,No internet service,No internet service,0,597.0,No
3376-BMGFE,Female,46,4,Yes,Fiber optic,No,No,2,2127.0,Yes
5997-OPVFA,Male,58,72,Yes,DSL,Yes,Yes,1,2671.5,No
3445-HXXGF,Male,63,58,No,DSL,No,Yes,2,1359.0,Yes
1159-WFSGR,Female,28,16,Yes,DOCSIS,No internet service,No internet service,1,612.0,No
7654-YWJUF,Male,64,43,Yes,Fiber optic,No,No,2,2527.5,No
1875-QIVME,Female,60,2,Yes,Fiber optic,Yes,Yes,2,3132.0,Yes
6727-IOTLZ,Male,33,14,Yes,DSL,Yes,Yes,1,2458.5,No
0691-JVSYA,Female,34,53,Yes,Fiber optic,Yes,Yes,1,2845.5,Yes
5918-VUKWP,Female,62,32,Yes,DOCSIS,No internet service,No internet service,0,616.5,No
1744-JHKYS,Female,43,34,Yes,DOCSIS,No internet service,No internet service,1,741.0,No
2656-FMOKZ,Female,34,15,Yes,Fiber optic,No,No,1,2233.5,Yes
2070-FNEXE,Female,35,7,Yes,Fiber optic,No,No,1,2293.5,Yes
5947-SGKCL,Female,18,15,Yes,Fiber optic,Yes,Yes,0,3160.5,No
3712-PKXZA,Male,35,61,Yes,DOCSIS,No internet service,No internet service,2,616.5,No
6317-YPKDH,Female,42,1,No,DSL,No,No,1,898.5,Yes
6582-OIVSP,Female,39,1,Yes,DSL,No,No,1,1359.0,No
9367-WXLCH,Male,28,8,Yes,Fiber optic,No,Yes,0,2535.0,Yes
5524-KHNJP,Male,43,33,Yes,DSL,Yes,Yes,1,2242.5,No
1918-ZBFQJ,Female,22,13,Yes,Fiber optic,No,No,1,2377.5,Yes
1024-GUALD,Female,41,1,No,DSL,No,No,0,744.0,Yes
4827-USJHP,Male,38,20,Yes,DSL,No,No,2,1554.0,No
8167-GJLRN,Male,50,3,No,DSL,No,No,0,912.0,No
0956-SYCWG,Female,42,13,Yes,DOCSIS,No internet service,No internet service,2,589.5,No
8017-UVSZU,Female,18,40,Yes,DSL,No,No,2,1698.0,No
7100-FQPRV,Male,30,43,Yes,DSL,No,Yes,2,2157.0,No
2472-OVKUP,Male,50,6,Yes,Fiber optic,No,Yes,0,2730.0,Yes
2984-RGEYA,Female,57,69,Yes,DOCSIS,No internet service,No internet service,0,592.5,No
9680-NIAUV,Female,23,72,Yes,Fiber optic,Yes,Yes,1,3291.0,No
2146-EGVDT,Male,42,59,Yes,DOCSIS,No internet service,No internet service,1,579.0,No
2604-IJPDU,Female,45,20,Yes,Fiber optic,Yes,No,0,2896.5,No
9178-JHUVJ,Male,62,24,Yes,DOCSIS,No internet service,No internet service,2,723.0,No
6168-YBYNP,Male,64,59,Yes,Fiber optic,Yes,Yes,1,3340.5,No
7255-SSFBC,Male,42,72,Yes,Fiber optic,Yes,Yes,2,3367.5,No
3645-DEYGF,Male,54,1,Yes,DOCSIS,No internet service,No internet service,0,622.5,No
9323-HGFWY,Female,58,27,Yes,Fiber optic,Yes,Yes,2,3057.0,No
8544-GOQSH,Female,21,14,Yes,Fiber optic,No,No,2,2401.5,No
3363-DTIVD,Male,27,71,Yes,Fiber optic,Yes,Yes,2,3166.5,No
7018-WBJNK,Male,36,13,Yes,Fiber optic,Yes,No,2,2349.0,No
9142-KZXOP,Male,46,44,Yes,Fiber optic,No,No,2,2065.5,No
7674-YTAFD,Female,57,33,Yes,Fiber optic,No,No,1,2398.5,No
6348-SNFUS,Male,19,72,No,DSL,No,Yes,1,1663.5,No
1285-OKIPP,Male,29,1,Yes,Fiber optic,No,Yes,1,2397.0,Yes
7825-ECJRF,Female,53,19,Yes,Fiber optic,Yes,Yes,2,3198.0,Yes
1347-KTTTA,Male,28,64,Yes,Fiber optic,Yes,Yes,2,3073.5,No
7841-TZDMQ,Male,26,2,Yes,DSL,No,No,2,1380.0,Yes
4195-NZGTA,Female,52,1,No,DSL,No,No,2,757.5,No
7157-SMCFK,Male,21,61,Yes,DOCSIS,No internet service,No internet service,2,592.5,No
4709-LKHYG,Female,43,29,Yes,DOCSIS,No internet service,No internet service,1,600.0,No
2504-DSHIH,Male,38,23,Yes,Fiber optic,No,Yes,2,2604.0,No
0699-NDKJM,Female,41,57,No,DSL,Yes,Yes,0,1762.5,No
9286-BHDQG,Male,51,72,No,DSL,No,No,1,1357.5,No
0230-WEQUW,Male,52,66,No,DSL,Yes,No,1,1698.0,No
2040-LDIWQ,Male,49,65,Yes,DSL,Yes,Yes,0,2526.0,No
6496-JDSSB,Female,38,8,Yes,Fiber optic,Yes,No,1,2400.0,No
9408-SSNVZ,Female,32,4,Yes,Fiber optic,No,No,2,2104.5,Yes
4443-EMBNA,Female,61,71,Yes,DOCSIS,No internet service,No internet service,2,742.5,No
6469-MRVET,Male,59,1,Yes,DOCSIS,No internet service,No internet service,1,606.0,No
0742-MOABM,Male,32,4,Yes,DSL,No,No,0,1501.5,Yes
5961-VUSRV,Female,62,12,Yes,DOCSIS,No internet service,No internet service,1,580.5,No
6778-JFCMK,Male,59,24,No,DSL,Yes,Yes,2,1518.0,No
6341-JVQGF,Female,63,31,Yes,DSL,Yes,Yes,0,2434.5,No
2232-DMLXU,Female,19,1,Yes,DSL,Yes,No,2,1656.0,Yes
4811-JBUVU,Male,64,30,Yes,Fiber optic,No,Yes,2,2697.0,No
0945-TSONX,Female,38,47,Yes,DSL,Yes,Yes,0,2559.0,No
2651-ZCBXV,Male,26,54,Yes,Fiber optic,Yes,Yes,1,3240.0,No
3316-UWXUY,Male,43,50,Yes,Fiber optic,No,Yes,0,2805.0,No
8937-RDTHP,Male,44,1,Yes,Fiber optic,No,Yes,1,2538.0,Yes
7083-MIOPC,Female,26,72,Yes,DOCSIS,No internet service,No internet service,1,607.5,No
1984-GPTEH,Female,30,29,Yes,DOCSIS,No internet service,No internet service,0,754.5,No
1251-KRREG,Male,20,2,Yes,DSL,No,No,1,1632.0,Yes
0621-JFHOL,Female,35,10,No,DSL,No,No,2,888.0,No
9903-LYSAB,Male,47,18,Yes,Fiber optic,No,No,2,2194.5,No
0094-OIFMO,Female,48,11,Yes,Fiber optic,Yes,Yes,1,2850.0,Yes
9227-UAQFT,Male,40,16,Yes,DOCSIS,No internet service,No internet service,2,592.5,No
7301-ABVAD,Female,47,72,Yes,DSL,Yes,Yes,2,2598.0,No
6614-FHDBO,Male,29,72,Yes,Fiber optic,Yes,Yes,0,3276.0,No
7576-ASEJU,Female,59,41,Yes,DSL,Yes,Yes,1,2241.0,No
9058-HRZSV,Female,41,65,Yes,Fiber optic,No,Yes,0,2832.0,No
4522-AKYLR,Female,33,13,Yes,DSL,No,No,1,1644.0,No
0221-WMXNQ,Male,22,4,Yes,Fiber optic,No,No,0,2260.5,No
0303-UNCIP,Male,62,41,Yes,DSL,No,Yes,0,1950.0,No
9947-OTFQU,Male,64,15,Yes,Fiber optic,No,No,0,2232.0,Yes
0322-YINQP,Male,21,1,Yes,DSL,No,No,0,1456.5,Yes
0959-WHOKV,Male,64,42,Yes,Fiber optic,No,Yes,1,2970.0,No
4075-JFPGR,Female,29,51,Yes,Fiber optic,Yes,No,2,2805.0,No
4629-NRXKX,Female,48,2,Yes,Fiber optic,No,No,1,2112.0,Yes
9514-JDSKI,Male,53,1,No,DSL,Yes,No,2,1206.0,Yes
3282-ZISZV,Male,63,32,Yes,DSL,Yes,Yes,1,2511.0,No
3675-YDUPJ,Male,49,10,Yes,DOCSIS,No internet service,No internet service,2,595.5,No
4111-BNXIF,Female,60,67,No,DSL,Yes,Yes,0,1786.5,No
7017-VFHAY,Female,21,61,Yes,Fiber optic,Yes,Yes,2,3453.0,No
6655-LHBYW,Male,26,50,Yes,Fiber optic,Yes,Yes,1,3430.5,No
4959-JOSRX,Female,59,2,Yes,DSL,No,No,0,1338.0,Yes
5046-NUHWD,Female,21,29,No,DSL,No,Yes,0,1350.0,No
7273-TEFQD,Male,64,3,No,DSL,No,Yes,2,1234.5,Yes
3606-TWKGI,Male,32,13,Yes,Fiber optic,Yes,Yes,2,3207.0,Yes
7529-ZDFXI,Male,53,57,Yes,Fiber optic,No,Yes,0,2695.5,No
7605-BDWDC,Female,38,31,No,DSL,No,Yes,0,1495.5,No
1950-KSVVJ,Female,41,45,Yes,Fiber optic,Yes,Yes,1,3399.0,No
0123-CRBRT,Female,19,61,Yes,DSL,Yes,Yes,0,2643.0,No
6292-TOSSS,Male,50,50,Yes,DOCSIS,No internet service,No internet service,0,747.0,No
3197-ARFOY,Female,58,19,Yes,Fiber optic,Yes,Yes,1,3150.0,No
6323-AYBRX,Male,51,59,Yes,DOCSIS,No internet service,No internet service,1,580.5,Yes
7014-ZZXAW,Female,24,71,Yes,DOCSIS,No internet service,No internet service,0,727.5,No
4385-GZQXV,Female,42,16,Yes,Fiber optic,Yes,Yes,2,2833.5,Yes
7633-MVPUY,Male,61,57,Yes,DSL,No,No,1,1792.5,No
6366-ZGQGL,Male,20,1,No,DSL,No,No,1,744.0,Yes
4716-HHKQH,Male,64,20,Yes,Fiber optic,Yes,Yes,0,3211.5,No
5940-AHUHD,Male,43,1,Yes,Fiber optic,No,No,2,2118.0,Yes
6432-TWQLB,Male,62,5,Yes,Fiber optic,No,No,0,2562.0,Yes
4484-GLZOU,Female,25,52,Yes,Fiber optic,Yes,Yes,1,3151.5,Yes
3179-GBRWV,Male,36,21,Yes,DSL,No,Yes,1,1948.5,No
8645-KWHJO,Male,28,14,No,DSL,Yes,Yes,0,1650.0,No
4130-MZLCC,Female,35,5,Yes,DSL,No,No,1,1516.5,No
0314-TKOSI,Female,36,6,Yes,DSL,No,No,2,1654.5,No
8229-MYEJZ,Female,56,10,Yes,DSL,No,No,1,1536.0,No
2080-SRCDE,Female,43,1,Yes,DOCSIS,No internet service,No internet service,0,762.0,No
9577-WJVCQ,Female,47,68,Yes,DSL,No,No,1,1633.5,No
9512-UIBFX,Male,63,18,Yes,Fiber optic,Yes,Yes,0,2854.5,Yes
6202-DYYFX,Female,31,22,Yes,Fiber optic,No,No,1,2280.0,No
3808-HFKDE,Female,53,20,Yes,DSL,No,No,0,1330.5,No
5583-SXDAG,Male,28,1,Yes,Fiber optic,No,No,1,2100.0,Yes
3488-PGMQJ,Male,44,8,Yes,Fiber optic,No,No,1,2235.0,Yes
3580-REOAC,Male,46,10,Yes,DSL,No,No,0,1345.5,Yes
7534-BFESC,Male,23,24,Yes,Fiber optic,No,No,1,2283.0,Yes
3727-OWVYD,Male,53,35,Yes,DSL,No,No,2,1836.0,No
2294-SALNE,Male,54,23,Yes,Fiber optic,No,No,0,2604.0,No
4847-TAJYI,Female,44,6,Yes,Fiber optic,Yes,Yes,0,2680.5,No
1563-IWQEX,Female,29,12,Yes,DOCSIS,No internet service,No internet service,2,591.0,No
8203-XJZRC,Male,52,1,Yes,DOCSIS,No internet service,No internet service,0,607.5,No
6556-DBKZF,Female,46,71,Yes,Fiber optic,No,No,2,2281.5,No
6851-WEFYX,Male,36,35,Yes,Fiber optic,Yes,Yes,1,3024.0,No
2985-JUUBZ,Male,18,40,Yes,DSL,Yes,Yes,1,2236.5,No
6390-DSAZX,Female,51,1,Yes,Fiber optic,No,No,1,2208.0,Yes
0895-LMRSF,Male,36,23,Yes,DSL,Yes,Yes,2,1947.0000000000002,No
8098-LLAZX,Female,50,4,Yes,Fiber optic,Yes,Yes,0,2863.5,Yes
8266-VBFQL,Male,55,4,Yes,Fiber optic,No,Yes,0,2712.0,No
8181-YHCMF,Female,63,68,No,DSL,Yes,Yes,2,1809.0,No
2240-HSJQD,Male,56,38,Yes,Fiber optic,No,No,0,2455.5,No
1248-DYXUB,Male,45,52,Yes,DOCSIS,No internet service,No internet service,2,744.0,No
0265-EDXBD,Male,62,32,Yes,Fiber optic,No,No,1,2247.0,Yes
4115-BNPJY,Male,56,29,Yes,DSL,Yes,Yes,1,2266.5,No
3167-SNQPL,Male,26,38,Yes,Fiber optic,Yes,Yes,0,3034.5,No
4091-TVOCN,Male,20,48,Yes,DSL,Yes,Yes,1,2362.5,No
1098-TDVUQ,Female,22,1,Yes,DOCSIS,No internet service,No internet service,0,577.5,No
7277-OZCGZ,Female,34,22,Yes,Fiber optic,No,Yes,2,2671.5,No
1557-EMYVT,Female,23,43,Yes,Fiber optic,Yes,Yes,2,3451.5,No
2799-ARNLO,Female,26,5,Yes,Fiber optic,No,No,2,2080.5,No
7563-BIUPC,Male,20,5,Yes,Fiber optic,Yes,No,0,2418.0,Yes
5027-YOCXN,Male,54,51,Yes,Fiber optic,Yes,Yes,2,3301.5,No
3973-SKMLN,Male,25,71,Yes,DOCSIS,No internet service,No internet service,0,597.0,No
2321-OMBXY,Female,31,38,Yes,DSL,Yes,Yes,0,2409.0,Yes
2840-XANRC,Male,24,24,Yes,Fiber optic,Yes,Yes,1,2794.5,Yes
6745-JEFZB,Male,35,35,Yes,Fiber optic,Yes,No,0,2745.0,No
5020-ZSTTY,Female,47,54,Yes,DSL,Yes,Yes,1,2473.5,Yes
9880-TDQAC,Female,55,72,No,DSL,Yes,Yes,1,1800.0,No
8705-WZCYL,Male,63,1,Yes,DSL,No,No,2,1344.0,No
7102-JJVTX,Female,56,9,Yes,DSL,No,No,0,1458.0,No
8626-PTQGE,Male,19,69,No,DSL,Yes,Yes,2,1801.5,No
4983-CLMLV,Female,41,52,Yes,Fiber optic,Yes,Yes,0,3081.0,No
5701-YVSVF,Female,25,11,Yes,Fiber optic,Yes,No,1,2487.0,No
5804-LEPIM,Female,33,2,Yes,Fiber optic,No,No,0,2110.5,Yes
5697-GOMBF,Female,53,28,No,DSL,Yes,No,2,1077.0,No
2739-CACDQ,Female,60,17,Yes,Fiber optic,No,No,0,2479.5,No
9385-EHGDO,Female,22,35,Yes,DOCSIS,No internet service,No internet service,1,595.5,No
